,Jahr,Index,Bundesland
0,2006,87.0,Bayern
1,2007,88.6,Bayern
2,2008,90.2,Bayern
3,2009,91.7,Bayern
4,2010,93.2,Bayern
5,2011,94.5,Bayern
6,2012,95.8,Bayern
7,2013,97.0,Bayern
8,2014,98.4,Bayern
9,2015,100.0,Bayern
10,2016,101.6,Bayern
11,2017,103.3,Bayern
12,2018,105.2,Bayern
13,2019,106.9,Bayern
14,2020,108.5,Bayern
15,2021,110.1,Bayern
16,2022,112.6,Bayern
17,2006,88.0,Baden-Wuerttemberg
18,2007,89.5,Baden-Wuerttemberg
19,2008,91.1,Baden-Wuerttemberg
20,2009,92.2,Baden-Wuerttemberg
21,2010,93.4,Baden-Wuerttemberg
22,2011,94.6,Baden-Wuerttemberg
23,2012,95.5,Baden-Wuerttemberg
24,2013,96.6,Baden-Wuerttemberg
25,2014,98.1,Baden-Wuerttemberg
26,2015,100.0,Baden-Wuerttemberg
27,2016,101.4,Baden-Wuerttemberg
28,2017,103.1,Baden-Wuerttemberg
29,2018,105.0,Baden-Wuerttemberg
30,2019,106.9,Baden-Wuerttemberg
31,2020,109.0,Baden-Wuerttemberg
32,2021,111.0,Baden-Wuerttemberg
33,2022,113.5,Baden-Wuerttemberg
34,2006,87.0,Berlin
35,2007,87.2,Berlin
36,2008,89.1,Berlin
37,2009,90.6,Berlin
38,2010,91.9,Berlin
39,2011,93.5,Berlin
40,2012,95.0,Berlin
41,2013,97.4,Berlin
42,2014,99.0,Berlin
43,2015,100.0,Berlin
44,2016,101.3,Berlin
45,2017,103.3,Berlin
46,2018,105.6,Berlin
47,2019,107.1,Berlin
48,2020,107.9,Berlin
49,2021,107.8,Berlin
50,2022,110.0,Berlin
51,2006,83.9,Bremen
52,2007,84.3,Bremen
53,2008,85.5,Bremen
54,2009,87.0,Bremen
55,2010,88.4,Bremen
56,2011,91.5,Bremen
57,2012,93.3,Bremen
58,2013,94.7,Bremen
59,2014,97.9,Bremen
60,2015,100.0,Bremen
61,2016,102.1,Bremen
62,2017,103.5,Bremen
63,2018,105.1,Bremen
64,2019,107.0,Bremen
65,2020,109.5,Bremen
66,2021,112.1,Bremen
67,2022,114.6,Bremen
68,2006,95.3,Brandenburg
69,2007,95.8,Brandenburg
70,2008,96.1,Brandenburg
71,2009,96.3,Brandenburg
72,2010,96.8,Brandenburg
73,2011,97.3,Brandenburg
74,2012,98.1,Brandenburg
75,2013,98.8,Brandenburg
76,2014,99.7,Brandenburg
77,2015,100.0,Brandenburg
78,2016,100.5,Brandenburg
79,2017,101.8,Brandenburg
80,2018,103.1,Brandenburg
81,2019,104.6,Brandenburg
82,2020,106.3,Brandenburg
83,2021,108.8,Brandenburg
84,2022,110.3,Brandenburg
85,2006,88.7,Hessen
86,2007,89.7,Hessen
87,2008,91.0,Hessen
88,2009,92.2,Hessen
89,2010,93.2,Hessen
90,2011,94.2,Hessen
91,2012,95.7,Hessen
92,2013,97.1,Hessen
93,2014,98.6,Hessen
94,2015,100.0,Hessen
95,2016,101.2,Hessen
96,2017,102.3,Hessen
97,2018,104.2,Hessen
98,2019,105.8,Hessen
99,2020,107.5,Hessen
100,2021,108.8,Hessen
101,2022,111.0,Hessen
102,2006,94.9,Mecklenburg-Vorpommern
103,2007,95.1,Mecklenburg-Vorpommern
104,2008,95.7,Mecklenburg-Vorpommern
105,2009,96.4,Mecklenburg-Vorpommern
106,2010,96.9,Mecklenburg-Vorpommern
107,2011,97.8,Mecklenburg-Vorpommern
108,2012,98.3,Mecklenburg-Vorpommern
109,2013,98.8,Mecklenburg-Vorpommern
110,2014,99.3,Mecklenburg-Vorpommern
111,2015,100.0,Mecklenburg-Vorpommern
112,2016,100.7,Mecklenburg-Vorpommern
113,2017,102.6,Mecklenburg-Vorpommern
114,2018,103.5,Mecklenburg-Vorpommern
115,2019,104.7,Mecklenburg-Vorpommern
116,2020,105.8,Mecklenburg-Vorpommern
117,2021,107.2,Mecklenburg-Vorpommern
118,2022,108.7,Mecklenburg-Vorpommern
119,2006,90.0,Niedersachsen
120,2007,91.0,Niedersachsen
121,2008,92.0,Niedersachsen
122,2009,92.8,Niedersachsen
123,2010,93.7,Niedersachsen
124,2011,94.7,Niedersachsen
125,2012,95.7,Niedersachsen
126,2013,97.2,Niedersachsen
127,2014,98.7,Niedersachsen
128,2015,100.0,Niedersachsen
129,2016,101.1,Niedersachsen
130,2017,102.6,Niedersachsen
131,2018,104.2,Niedersachsen
132,2019,105.7,Niedersachsen
133,2020,107.3,Niedersachsen
134,2021,108.3,Niedersachsen
135,2022,109.5,Niedersachsen
136,2006,89.2,Nordrhein-Westfalen
137,2007,90.1,Nordrhein-Westfalen
138,2008,90.8,Nordrhein-Westfalen
139,2009,91.7,Nordrhein-Westfalen
140,2010,92.9,Nordrhein-Westfalen
141,2011,94.5,Nordrhein-Westfalen
142,2012,95.7,Nordrhein-Westfalen
143,2013,97.3,Nordrhein-Westfalen
144,2014,99.1,Nordrhein-Westfalen
145,2015,100.0,Nordrhein-Westfalen
146,2016,101.0,Nordrhein-Westfalen
147,2017,102.4,Nordrhein-Westfalen
148,2018,103.7,Nordrhein-Westfalen
149,2019,105.0,Nordrhein-Westfalen
150,2020,106.3,Nordrhein-Westfalen
151,2021,107.9,Nordrhein-Westfalen
152,2022,109.4,Nordrhein-Westfalen
153,2006,90.8,Rheinland-Pfalz
154,2007,91.7,Rheinland-Pfalz
155,2008,92.9,Rheinland-Pfalz
156,2009,93.6,Rheinland-Pfalz
157,2010,94.3,Rheinland-Pfalz
158,2011,95.4,Rheinland-Pfalz
159,2012,96.3,Rheinland-Pfalz
160,2013,97.5,Rheinland-Pfalz
161,2014,98.9,Rheinland-Pfalz
162,2015,100.0,Rheinland-Pfalz
163,2016,100.5,Rheinland-Pfalz
164,2017,101.4,Rheinland-Pfalz
165,2018,102.8,Rheinland-Pfalz
166,2019,104.5,Rheinland-Pfalz
167,2020,106.0,Rheinland-Pfalz
168,2021,107.0,Rheinland-Pfalz
169,2022,108.7,Rheinland-Pfalz
170,2006,94.3,Saarland
171,2007,95.1,Saarland
172,2008,95.6,Saarland
173,2009,95.8,Saarland
174,2010,96.4,Saarland
175,2011,97.0,Saarland
176,2012,97.8,Saarland
177,2013,98.4,Saarland
178,2014,99.1,Saarland
179,2015,100.0,Saarland
180,2016,100.8,Saarland
181,2017,101.5,Saarland
182,2018,102.4,Saarland
183,2019,103.8,Saarland
184,2020,105.4,Saarland
185,2021,106.3,Saarland
186,2022,107.8,Saarland
187,2006,96.7,Sachsen
188,2007,96.9,Sachsen
189,2008,97.1,Sachsen
190,2009,97.4,Sachsen
191,2010,97.6,Sachsen
192,2011,98.0,Sachsen
193,2012,98.4,Sachsen
194,2013,98.7,Sachsen
195,2014,99.3,Sachsen
196,2015,100.0,Sachsen
197,2016,100.2,Sachsen
198,2017,100.7,Sachsen
199,2018,101.8,Sachsen
200,2019,102.8,Sachsen
201,2020,103.6,Sachsen
202,2021,104.4,Sachsen
203,2022,105.9,Sachsen
204,2006,94.1,Sachsen-Anhalt
205,2007,94.7,Sachsen-Anhalt
206,2008,95.3,Sachsen-Anhalt
207,2009,96.0,Sachsen-Anhalt
208,2010,96.7,Sachsen-Anhalt
209,2011,97.2,Sachsen-Anhalt
210,2012,97.9,Sachsen-Anhalt
211,2013,98.5,Sachsen-Anhalt
212,2014,99.3,Sachsen-Anhalt
213,2015,100.0,Sachsen-Anhalt
214,2016,101.1,Sachsen-Anhalt
215,2017,101.6,Sachsen-Anhalt
216,2018,102.5,Sachsen-Anhalt
217,2019,103.8,Sachsen-Anhalt
218,2020,104.9,Sachsen-Anhalt
219,2021,106.3,Sachsen-Anhalt
220,2022,107.2,Sachsen-Anhalt
221,2006,93.2,Thueringen
222,2007,93.8,Thueringen
223,2008,95.6,Thueringen
224,2009,95.8,Thueringen
225,2010,96.3,Thueringen
226,2011,96.9,Thueringen
227,2012,97.5,Thueringen
228,2013,98.2,Thueringen
229,2014,98.9,Thueringen
230,2015,100.0,Thueringen
231,2016,100.8,Thueringen
232,2017,101.5,Thueringen
233,2018,102.4,Thueringen
234,2019,103.5,Thueringen
235,2020,105.2,Thueringen
236,2021,106.5,Thueringen
237,2022,107.7,Thueringen
238,2015,100.0,Hamburg
239,2016,101.4,Hamburg
240,2017,103.4,Hamburg
241,2018,104.2,Hamburg
242,2019,104.9,Hamburg
243,2020,105.9,Hamburg
244,2021,106.7,Hamburg
245,2022,108.8,Hamburg
246,2015,100.0,Schleswig-Holstein
247,2016,101.2,Schleswig-Holstein
248,2017,102.0,Schleswig-Holstein
249,2018,103.1,Schleswig-Holstein
250,2019,104.3,Schleswig-Holstein
251,2020,106.0,Schleswig-Holstein
252,2021,107.7,Schleswig-Holstein
253,2022,109.6,Schleswig-Holstein
254,2006,90.0,Deutschland median
255,2007,91.0,Deutschland median
256,2008,92.0,Deutschland median
257,2009,93.0,Deutschland median
258,2010,94.0,Deutschland median
259,2011,95.0,Deutschland median
260,2012,96.0,Deutschland median
261,2013,97.0,Deutschland median
262,2014,98.0,Deutschland median
263,2015,100.0,Deutschland median
264,2016,101.0,Deutschland median
265,2017,102.0,Deutschland median
266,2018,103.0,Deutschland median
267,2019,104.0,Deutschland median
268,2020,106.0,Deutschland median
269,2021,107.0,Deutschland median
270,2022,109.0,Deutschland median
271,2006,90.0,Deutschland mean
272,2007,91.0,Deutschland mean
273,2008,92.0,Deutschland mean
274,2009,93.0,Deutschland mean
275,2010,94.0,Deutschland mean
276,2011,95.0,Deutschland mean
277,2012,96.0,Deutschland mean
278,2013,97.0,Deutschland mean
279,2014,98.0,Deutschland mean
280,2015,100.0,Deutschland mean
281,2016,101.0,Deutschland mean
282,2017,102.0,Deutschland mean
283,2018,103.0,Deutschland mean
284,2019,105.0,Deutschland mean
285,2020,106.0,Deutschland mean
286,2021,107.0,Deutschland mean
287,2022,109.0,Deutschland mean
288,2006,3.0,Deutschland std
289,2007,3.0,Deutschland std
290,2008,3.0,Deutschland std
291,2009,2.0,Deutschland std
292,2010,2.0,Deutschland std
293,2011,1.0,Deutschland std
294,2012,1.0,Deutschland std
295,2013,1.0,Deutschland std
296,2014,0.0,Deutschland std
297,2015,0.0,Deutschland std
298,2016,0.0,Deutschland std
299,2017,0.0,Deutschland std
300,2018,1.0,Deutschland std
301,2019,1.0,Deutschland std
302,2020,1.0,Deutschland std
303,2021,1.0,Deutschland std
304,2022,2.0,Deutschland std
